"1988 Komori Lithrone L226 2 Color Offset Press with Infrared Drying System, High Pile Feeder and Delivery, Manuals, Press Tools, 5 Carts and Delivery Pile Racks - Monterey, CA - Click for Video"
"Dexter Unitized 20 Buckle Folder Model DU2092 - Monterey, CA - Click for Video!"
"Muller Martini Model 1509 6 Pocket Saddle Stitcher w/Three Knife Trimmer, Twin Feeders, Belt Delivery w/ Counter, Heavy Duty Stitching Heads - Monterey, CA - Click for Video!"
"1999 Heidelberg QMDI 46-4, Fremont, CA"
"2000 Heidelberg QMDI 46-4, Fremont, CA"
"2013 Xerox 770 Copier - Fremont, CA"
"2007 Canon imagePRESS C7000VP Color Sheetfed Digital Press - Brooklyn, NY"
"2007 Konica Minolta Bizhub 1050E - Brooklyn, NY"
"Therm-O-Type 450 Thermography Machine - Goshen, NY"
"Challenge EH-3A Paper Drill - Goshen, NY"
"1999 MultiGraphics Platemaker SP 990 EI - Goshen, NY"
"HP Indigo 3500  - Irvine, CA"
"Challenge 5-Hole Drill MS-5 - Butler, PA"
"Xerox Phaser 7760 - Butler, PA"
"OFM Turbo Folder - St. Petersburg, FL"
"HP DesignJet 9000s - West Haven, CT"
"Island Clean Air Duster 2000 CFM - West Haven, CT"
"2006 Bell & Howell / Enduro Inserting Machine - Earth City, MO"
"2001 Heidelberg QMDI 46-4 Plus - Franklin, CT"
"2004 Presstek DI 5634 Kodak/Ryobi Press - Franklin, CT"
"Scott Model 1800 Plastic Index Tab Machine - South Lebanon, OH"
"Fastback Model 15 and PowisPrinter Parker Model 31 with Keyboard, Manuals, Software, Cables, Binding Straps - South Lebanon, OH"
"Scott Index Tabcutting Machine - Heavy Duty Model - South Lebanon, OH"
"Duplo Collator 10000S, Two Towers (20 Pockets Total) Cover Inserter and Stacker - Orange Park, FL"
"Renz RSB 360 Semi-automatic Wire Binder - Orange Park, FL"
"James Burn WOB3500 Semi-Automatic Wire-O-Binder - Orange Park, FL - Click here for Video!"
"HP Indigo 3050 with Donaldson Chiller - Cave Junction, OR"
"Epson Stylus Pro GS6000 - Winona, MN"
"Epson Stylus Pro 11880 Wide Format Printer - Winona, MN"
"HP DesignJet 5000 Wide Format Printer - Winona, MN"
"Gardner Denver Compressed Air Dryer - Winona, MN"
"Epson Stylus Pro 4880 - Winona, MN"
"Fennimore 258 Auto Punch - Winona, MN - Click for Video!"
"AB Dick 9810 Press with Roller Cleanup Sheets, Spare Rollers and Misc. Parts - Winona, MN"
"ProLine Hot Melt Gluer - Winona, MN - Click for Video!"
"Belco Packaging Systems ST2210 Shrink Tunnel - Winona, MN"
"Epson Gs6000 Ink - Winona, MN"
"Bell/Howell Phillipsburg Expediter 5000 Inserter - 4 Stations - Winona, MN"
"Lassco Corner Rounder Model Cr-50 - Winona, MN"
"Graphic Whizard CreaseMaster Plus - Winona, MN - Click for Video!"
"Hamada C248E 2 Color Press, Manuals, Wrenches, 5 Delivery Dollies, New Blankets - Henderson, TN - Click for Video!"
Challenge 305 MPC Paper Cutter - SN #95529E - Bridgeview IL
"2009 Meteor DP60 Pro 4 Color Digital Press with Spare Parts, High Pile Stacker, Pro Feeding System - Burlington, Ontario, Canada"
"Mek-A-Case One Off Case Making System - Hilldale, Utah"
"GBC Sickinger USP-13 Autopunch - Hilldale, Utah - Click for Video!"
"GBC Sickinger USP-13 Autopunch #2  - Hilldale, Utah"
"Ryobi 2800 CD w/ T51 Second Color Head, Spare Parts & Plate Punch - Hilldale, Utah"
"Nordson ProBlue 10 Glue System with Pattern Controller, Daring 55 Drum Unloader - Hilldale, Utah"
"Muller Martini 310 Counter Stacker - Mississauga, Ontario, Canada - Click for Video!"
"Mosca Automatic Plastic Bander - Mississauga, Ontario, Canada- Click for Video!"
"GBC 5031 TS Professional Laminator with Feeder - Mississauga, Ontario, Canada - Click for Video!"
"Rietschle Press Pump - Mississauga, Ontario, Canada - Click for Video!"
"Wohlenberg Amatco Three Knife Trimmer - Mississauga, Ontario, Canada - Click for Video!"
"1993 Heidelberg MOZP 2-Color Press - Whitby, Ontario, Canada - Click for Video!"
"Spiel Sterling Coil Master Jr. Coil Binding Machine - Pontiac, MI - Click here for Video!"
"Xante Illumina DEP (Digital Envelope Press) - with Feeder and Delivery - Pontiac, MI"
"2015 Flexa Extrim 160 - 63"" Automatic Trimming Machine - Pontiac, MI"
"Challenge 305 MPX - 30.5"" Programmable Paper Cutter with Auto Clap - Pontiac, MI"
"Konica Minolta BizHub PRO 1050 Digital Printer with Staple / Fold and Much More - Pontiac, MI"
"2013 TEC Lighting XtraCoat MINI XC14-1D UV Coater with Duplex - Pontiac, MI"
"2012 OKI Data pro900DP Digital Envelope Press with Fiery RIP and Conveyor - Pontiac, MI"
"Canon iPF8300 - Pontiac, MI - Click for Video!"
"Insta Heat Seal Model 718S - Digital Swinger T-Shirt Press - Pontiac, MI"
"Graphtec Cutting Pro FC2200-90 Flatbed Plotter - 37"" x 57"" Table Size - Pontiac, MI"
"Therm-O-Type Super SF-2000 Foil Stamping / Die Cutting Press - Pontiac, MI"
"Xante Impressia Envelope Printer, Feeder, Delivery & Stand - Pontiac, MI"
"Ingersoll Rand 2545K10 - 10 HP Air Compressor - Pontiac, MI - Click for Video!"
"GBC Falcon 36 - 36"" Wide Format Roll Laminator - Pontiac, MI"
"ROLAND SolJet Pro II SC-540, Solvent (Outdoor) Print & Cut - Pontiac, MI"
"HGP 260 Heated Vacuum Mounting Press, 39"" x 51"" - Pontiac, MI"
"Printex COS 115/4S - 4 Color Automatic Pad Printer - Pontiac, MI - Click for Video!"
"Scott 1800 Heavy Duty Tab Laminator - Air Powered - Pontiac, MI"
"Bindomatic 301 DFS - Inline or Offline Perfect Binding System - Pontiac, MI"
"Baum 714-XLT 14x20 Air Feed Paper Folder - Pontiac, MI"
"Fennimore 922 Sidewinder Collator and Booklet-Maker - Des Moines, IA - Click here for Video!"
"Bourg BST-10 with Optional Stacker - Amherst, NH"
"C.P. Bourg BST-20 with Stitcher, Folder and Trimmer (1998) and TD Stacker - Amherst, NH"
"Nagel Foldnak 8 Bookletmaker - Kennesaw, GA"
"Accufast Post-it-Note / Label Applicator - Kennesaw, GA"
"Konica Minolta Bizhub 1050e Black Laser Printer - Harahan, LA"
"2011 Mail Right T 3X Inline Inkjet - Ft. Lauderdale, FL"
"Kirk-Rudy Winkjet Inkjet System With 3""ù of Print - Gastonia, NY"
"HP Designjet Z6100 60-in Printer - Jacksonville, FL - Click for Video!"
"Canon ImageRunner Advance C5045 with Booklet Maker and Fiery Imageclass, Color Digital Press - Dallas, TX - Click for Video!"
"Hasler M3000 Folder, Inserter, Sealer, Two Feeders - Dallas, TX - Click for Video!"
"Xerox ColorQube MFP 8700X Color Solid Ink - Dallas, TX - Click for Video!"
"Xerox Workcentre 5775 - Dallas, TX"
"Canon ImageRunner C3080 Color Printer, Copier and Scanner - Dallas, TX"
"2004 Heidelberg QM46/2 Color Printmaster - Nashville, TN"
"AB Dick Century 3000  2 Color Press - Nashville, TN"
"Challenge 5-Hole Drill - Nashville, TN"
"Strate Flo Continous Envelope Feeder - Nashville, TN"
OKI ES 3640e MFP - multifunction printer (color)
