apple
binderymate
hasler
lectrojog
komori
mbo
printronix
rosback
ryobi
stahl
vonieff-gibson
ab dick
baum
challenge
chevrolet
clark
hamada
heidelberg
pro-cut
stahl 
therm-o-type
solna
standard
tower
baumfolder
a.b. dick
agfa
akiyama
c.p. bourg
duplo
falcon
formax
gammerler
gbc
heidelberg / stahl
interlake
oce
polar
shinohara
toko
xante
bourg
ford
fuji ninja
purup eskofot
sakurai oliver
seal
super web
triumph
prism
kodak
xerox
yale
a b dick
a. b. dick
presstek
sandco
thompson
abdick
ab-dick
accel
accufast
ace
acme
acromark
adast
addressograph
townsend
airtech
akebono
akenbong
akiles
aline
alpha
altus
am multigraphics
amergraph
amsec
anajet
anderson vreeland
apc
api
apm
aps
asko
aster headop
astro
astrojet
atlantic force
atlas copco
atlas
ats
attalam
autographic
hanagata
texwrap
graphi-count
automecha
autopac
autoven
avaya
awt
bacher
badger
baker perkins
baldwin
baltimore
bandall
band-a-matic
banner america
banner american
barrett
basix
nygren dahly
baumann
baumcut
becker
belair
belco
belcor
bell & howell
bell + howell
bell and howell
bellquette
benchmark
berry machine company
beseler
besseler
best pack
bestronic
better pack
bielomatik
big joe
bind-o-matic
bishamon
bizhub
blodgett
blue giant
blumer
bobst
booklet pro
bostitch
bowe
brackett
bravo
bruce
bryce
bt
bunn
burhs
busch
buskro
butler
butterfly
c p bourg
c&p
c.f anderson
c.p bookletmaker
c.p bourg
campbell
cannon
cardinal
carlson
carrier
carver
cascade
case
cat
caterpillar
cell-o
central
champion
chandler &
cheshire
chief
clamco
clamshell
cm
cmc
cochran
coda
colorspan
comec
"como 45"""
compack
conflex
coolit
copy star
core
count
cp bourg
cpi
creo
crestline
crown
ctp
curtis-toledo
d &
dahle
damark
data tech
datacard
datatech
davidson
dbm
deflorez
delta
deluxe
designjet
desta
detecto
dibipack
dick moll
didde
didde-glaser
digi
diplomat
dtg
dupont
duster
dynaric
eagle
earlline
eastey
eba
ebm
ebond
ec
eci
econocut
ecrm
efi
ehd
encad
enco
enduralam
epson
ercm
esko
espon
euro
eurotecnica
exactbind
excalibur
exxtrasetter
ez
fairchild
faltex
faratron
fast
fastback
fastbind
felins
fenimore
ferro five
filbar
finale
finisher
fks
fl smith
flambeu
fleet-line
flesher's
fletcher
fletcher-terry
flexcon co.
fmc
foldnak
foliant
forklift
foster 
four
fp
francotyp
franklin
freemont
fromm
fuji
fujifilm
fujitsu
g &
g.p.
gast
gateway
gau
gbr
gcc
gd
general
genicom
genie
geo knight
georgia
gerber
gerber solara
giles
global
glu-bind
gluefast
glue-folder
glunz &
gmn
golding
gpc
grafix
graham
grapha
graphic whizard
graphiclite evs
graphline
graphtec
gretag
grey
grizzly
groen
gti
gw
half web
halm
hamilton
hammond
hans
harco
harrington
harris
